	Covid_Fälle	Covid_Fälle_Proz	Covid_Tote	Covid_Tote_Proz	Bevölkerung	Bev_Proz	ICU	ICU_Proz
0-4	96672.0	2.6						
0-9	224782.0	6.0	10.0	0.011	7589000.0	9.1	4.5	0.2
10-14	147198.0	4.0						
10-19	365040.0	9.8	10.0	0.011	7706000.0	9.3	4.5	0.2
15-19	217842.0	5.8						
20-	589822.0	15.8	20.0	0.022	15295000.0	18.4	9.0	0.4
20-24	291426.0	7.8						
20-29	578655.0	15.5	55.0	0.06	9801000.0	11.8	27.0	1.1
20-40	1153110.0	31.0	274.0	0.3	20447000.0	24.6	98.0	4.1
25-29	287229.0	7.7						
30-	1168477.0	31.4	75.0	0.082	25096000.0	30.2	36.0	1.5
30-34	300402.0	8.1						
30-39	574455.0	15.4	219.0	0.24	10646000.0	12.8	71.0	3.0
35-39	274053.0	7.4						
40-	1742932.0	46.8	294.0	0.322	35742000.0	43.1	107.0	4.5
40-44	265545.0	7.1						
40-49	533988.0	14.3	704.0	0.771	10426000.0	12.6	195.0	8.1
45-49	268443.0	7.2						
5-9	128110.0	3.4						
50-54	311448.0	8.4						
50-59	613910.0	16.5	3097.0	3.391	13474000.0	16.2	528.0	22.0
55-59	302462.0	8.1						
60-64	215844.0	5.8						
60-69	344324.0	9.2	8354.0	9.148	10302000.0	12.4	774.0	32.3
65-69	128480.0	3.4						
70-74	100915.0	2.7						
70-79	199903.0	5.4	18993.0	20.798	7686000.0	9.3	622.0	26.0
75-79	98988.0	2.7						
80+	288197.0	7.7	59880.0	65.57	5390000.0	6.5	170.0	7.1
80-84	121555.0	3.3						
80-89	212866.0	5.7	40582.0	44.438				
85-89	91311.0	2.5						
90+	75331.0	2.0	19298.0	21.132				
